name,1985,1990,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
total_farms_count,98759,92815,79479,77730,76412,73591,70537,68784,67421,65866,64466,63627,62830,61764,60894,60034,59065,57617,56575,55207,54057,53253,52263,51620,50852
area_valley_in_percent,59,58,59,59,59,59,59,58,59,58,59,58,59,59,59,59,59,59,59,59,59,59,59,59,59
area_mountain_in_percent,41,42,41,41,41,41,41,42,41,42,41,42,41,41,41,41,41,41,41,41,41,41,41,41,41
area_size_0_1,7982,6868,5054,5212,5226,5258,3609,3607,3593,2979,3015,2806,2789,2741,2763,2911,2999,2462,2425,2246,2261,2247,2205,2199,2123
area_size_1_3,15191,13076,7113,6268,5533,4810,4762,4390,4191,4139,3804,3816,3894,3838,3791,3739,3660,3661,3609,3477,3358,3339,3246,3241,3219
area_size_3_5,8966,8256,6926,6794,6700,5884,5393,4982,4651,4495,4164,4025,3869,3699,3617,3477,3375,3224,3092,2937,2796,2719,2606,2581,2519
area_size_5_10,20998,18885,15148,14772,14402,13677,13149,12543,12049,11725,11365,11108,10741,10449,10068,9669,9280,8935,8491,8087,7689,7435,7111,6930,6752
area_size_10_20,32337,31598,27877,27166,26637,25808,24984,24199,23640,23077,22521,21994,21447,20875,20379,19864,19305,18728,18203,17514,16733,16216,15724,15324,14873
area_size_20_30,9347,9951,11391,11347,11473,11474,11674,11775,11789,11768,11744,11806,11753,11694,11628,11553,11432,11320,11198,11147,11122,11011,10884,10725,10576
area_size_30_50,3315,3507,5020,5173,5411,5559,5759,6012,6133,6216,6331,6494,6678,6751,6852,6937,7050,7208,7366,7486,7651,7734,7807,7870,7944
area_size_50_n,623,674,950,998,1030,1121,1207,1276,1375,1467,1522,1578,1659,1717,1796,1884,1964,2079,2191,2313,2447,2552,2680,2750,2846